Batch Size,Model Name,Compilation Type,Time,Device,Component
1,openMUSE/muse-laiona6-uvit-clip-220k,None,6.8,4090,backbone
1,runwayml/stable-diffusion-v1-5,None,15.6,4090,backbone
1,openMUSE/muse-laiona6-uvit-clip-220k,default,4.3,4090,backbone
1,runwayml/stable-diffusion-v1-5,default,14.8,4090,backbone
1,openMUSE/muse-laiona6-uvit-clip-220k,reduce-overhead,3.8,4090,backbone
1,runwayml/stable-diffusion-v1-5,reduce-overhead,15.4,4090,backbone
2,openMUSE/muse-laiona6-uvit-clip-220k,None,6.9,4090,backbone
2,runwayml/stable-diffusion-v1-5,None,24.9,4090,backbone
2,openMUSE/muse-laiona6-uvit-clip-220k,default,5.6,4090,backbone
2,runwayml/stable-diffusion-v1-5,default,23.9,4090,backbone
2,openMUSE/muse-laiona6-uvit-clip-220k,reduce-overhead,5.6,4090,backbone
2,runwayml/stable-diffusion-v1-5,reduce-overhead,24.4,4090,backbone
4,openMUSE/muse-laiona6-uvit-clip-220k,None,12.6,4090,backbone
4,runwayml/stable-diffusion-v1-5,None,39.2,4090,backbone
4,openMUSE/muse-laiona6-uvit-clip-220k,default,10.8,4090,backbone
4,runwayml/stable-diffusion-v1-5,default,37.7,4090,backbone
4,openMUSE/muse-laiona6-uvit-clip-220k,reduce-overhead,10.9,4090,backbone
4,runwayml/stable-diffusion-v1-5,reduce-overhead,38.5,4090,backbone
8,openMUSE/muse-laiona6-uvit-clip-220k,None,17.3,4090,backbone
8,runwayml/stable-diffusion-v1-5,None,72.0,4090,backbone
8,openMUSE/muse-laiona6-uvit-clip-220k,default,14.8,4090,backbone
8,runwayml/stable-diffusion-v1-5,default,69.0,4090,backbone
8,openMUSE/muse-laiona6-uvit-clip-220k,reduce-overhead,14.8,4090,backbone
8,runwayml/stable-diffusion-v1-5,reduce-overhead,70.9,4090,backbone
16,openMUSE/muse-laiona6-uvit-clip-220k,None,34.0,4090,backbone
16,runwayml/stable-diffusion-v1-5,None,142.8,4090,backbone
16,openMUSE/muse-laiona6-uvit-clip-220k,default,29.5,4090,backbone
16,runwayml/stable-diffusion-v1-5,default,136.1,4090,backbone
16,openMUSE/muse-laiona6-uvit-clip-220k,reduce-overhead,30.0,4090,backbone
16,runwayml/stable-diffusion-v1-5,reduce-overhead,140.5,4090,backbone
32,openMUSE/muse-laiona6-uvit-clip-220k,None,77.3,4090,backbone
32,runwayml/stable-diffusion-v1-5,None,289.1,4090,backbone
32,openMUSE/muse-laiona6-uvit-clip-220k,default,64.1,4090,backbone
32,runwayml/stable-diffusion-v1-5,default,269.3,4090,backbone
32,openMUSE/muse-laiona6-uvit-clip-220k,reduce-overhead,64.8,4090,backbone
1,openMUSE/muse-laiona6-uvit-clip-220k,None,21.3,a100,backbone
1,runwayml/stable-diffusion-v1-5,None,36.2,a100,backbone
1,openMUSE/muse-laiona6-uvit-clip-220k,default,15.3,a100,backbone
1,runwayml/stable-diffusion-v1-5,default,27.3,a100,backbone
1,openMUSE/muse-laiona6-uvit-clip-220k,reduce-overhead,4.5,a100,backbone
1,runwayml/stable-diffusion-v1-5,reduce-overhead,18.0,a100,backbone
2,openMUSE/muse-laiona6-uvit-clip-220k,None,21.9,a100,backbone
2,runwayml/stable-diffusion-v1-5,None,37.3,a100,backbone
2,openMUSE/muse-laiona6-uvit-clip-220k,default,15.6,a100,backbone
2,runwayml/stable-diffusion-v1-5,default,27.8,a100,backbone
2,openMUSE/muse-laiona6-uvit-clip-220k,reduce-overhead,5.7,a100,backbone
2,runwayml/stable-diffusion-v1-5,reduce-overhead,25.1,a100,backbone
4,openMUSE/muse-laiona6-uvit-clip-220k,None,23.8,a100,backbone
4,runwayml/stable-diffusion-v1-5,None,43.3,a100,backbone
4,openMUSE/muse-laiona6-uvit-clip-220k,default,18.1,a100,backbone
4,runwayml/stable-diffusion-v1-5,default,39.0,a100,backbone
4,openMUSE/muse-laiona6-uvit-clip-220k,reduce-overhead,9.2,a100,backbone
4,runwayml/stable-diffusion-v1-5,reduce-overhead,37.9,a100,backbone
8,openMUSE/muse-laiona6-uvit-clip-220k,None,25.4,a100,backbone
8,runwayml/stable-diffusion-v1-5,None,72.9,a100,backbone
8,openMUSE/muse-laiona6-uvit-clip-220k,default,19.1,a100,backbone
8,runwayml/stable-diffusion-v1-5,default,64.2,a100,backbone
8,openMUSE/muse-laiona6-uvit-clip-220k,reduce-overhead,14.1,a100,backbone
8,runwayml/stable-diffusion-v1-5,reduce-overhead,63.4,a100,backbone
16,openMUSE/muse-laiona6-uvit-clip-220k,None,34.0,a100,backbone
16,runwayml/stable-diffusion-v1-5,None,132.5,a100,backbone
16,openMUSE/muse-laiona6-uvit-clip-220k,default,25.5,a100,backbone
16,runwayml/stable-diffusion-v1-5,default,115.4,a100,backbone
16,openMUSE/muse-laiona6-uvit-clip-220k,reduce-overhead,25.6,a100,backbone
16,runwayml/stable-diffusion-v1-5,reduce-overhead,114.8,a100,backbone
32,openMUSE/muse-laiona6-uvit-clip-220k,None,68.0,a100,backbone
32,runwayml/stable-diffusion-v1-5,None,257.5,a100,backbone
32,openMUSE/muse-laiona6-uvit-clip-220k,default,49.5,a100,backbone
32,runwayml/stable-diffusion-v1-5,default,221.7,a100,backbone
32,openMUSE/muse-laiona6-uvit-clip-220k,reduce-overhead,49.9,a100,backbone
32,runwayml/stable-diffusion-v1-5,reduce-overhead,220.5,a100,backbone
1,openMUSE/muse-laiona6-uvit-clip-220k,None,622.5,cpu,backbone
1,runwayml/stable-diffusion-v1-5,None,3127.8,cpu,backbone
